Date,State,TotalSamples,Negative,Positive,Sno,Population,Rural population,Urban population,Area,Density,Gender Ratio,density_Group
17-04-2020,Andaman and Nicobar Islands,1403,1210.0,13.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
24-04-2020,Andaman and Nicobar Islands,2679,,28.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
27-04-2020,Andaman and Nicobar Islands,2848,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
01-05-2020,Andaman and Nicobar Islands,3754,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
02-04-2020,Andhra Pradesh,1800,1175.0,133.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
10-04-2020,Andhra Pradesh,6374,6009.0,366.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
11-04-2020,Andhra Pradesh,6958,6577.0,382.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
12-04-2020,Andhra Pradesh,6958,6553.0,406.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
13-04-2020,Andhra Pradesh,8755,8323.0,433.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
14-04-2020,Andhra Pradesh,10505,10032.0,474.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
15-04-2020,Andhra Pradesh,11613,11088.0,526.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
16-04-2020,Andhra Pradesh,20235,19701.0,535.0,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993,Dense2
