Date,State,TotalSamples,Negative,Positive
17-04-2020,Andaman and Nicobar Islands,1403,1210,12
24-04-2020,Andaman and Nicobar Islands,2679,,27
27-04-2020,Andaman and Nicobar Islands,2848,,33
01-05-2020,Andaman and Nicobar Islands,3754,,33
02-04-2020,Andhra Pradesh,1800,1175,132
10-04-2020,Andhra Pradesh,6374,6009,365
11-04-2020,Andhra Pradesh,6958,6577,381
12-04-2020,Andhra Pradesh,6958,6553,405
13-04-2020,Andhra Pradesh,8755,8323,432
14-04-2020,Andhra Pradesh,10505,10032,473
15-04-2020,Andhra Pradesh,11613,11088,525
16-04-2020,Andhra Pradesh,20235,19701,534
17-04-2020,Andhra Pradesh,20235,,572
18-04-2020,Andhra Pradesh,21450,20487,603
19-04-2020,Andhra Pradesh,26958,26311,647
20-04-2020,Andhra Pradesh,30733,30011,722
21-04-2020,Andhra Pradesh,35755,34998,757
22-04-2020,Andhra Pradesh,41512,40699,813
23-04-2020,Andhra Pradesh,48032,47139,893
24-04-2020,Andhra Pradesh,54338,53383,955
25-04-2020,Andhra Pradesh,61266,60250,1016
26-04-2020,Andhra Pradesh,68034,66937,1097
27-04-2020,Andhra Pradesh,74551,73374,1177
28-04-2020,Andhra Pradesh,80334,79075,1259
29-04-2020,Andhra Pradesh,88061,86729,1332
30-04-2020,Andhra Pradesh,94558,93155,1403
01-05-2020,Andhra Pradesh,102460,100997,1463
02-05-2020,Andhra Pradesh,108403,106878,1525
03-05-2020,Andhra Pradesh,114937,113354,1583
04-05-2020,Andhra Pradesh,125229,123579,1650
05-05-2020,Andhra Pradesh,133492,131775,1717
09-04-2020,Arunachal Pradesh,206,185,1
14-04-2020,Arunachal Pradesh,280,250,1
17-04-2020,Arunachal Pradesh,363,338,1
18-04-2020,Arunachal Pradesh,389,358,1
20-04-2020,Arunachal Pradesh,439,405,1
21-04-2020,Arunachal Pradesh,454,433,1
22-04-2020,Arunachal Pradesh,496,441,2
24-04-2020,Arunachal Pradesh,526,508,2
26-04-2020,Arunachal Pradesh,568,529,2
27-04-2020,Arunachal Pradesh,584,566,2
28-04-2020,Arunachal Pradesh,610,581,2
29-04-2020,Arunachal Pradesh,662,595,2
30-04-2020,Arunachal Pradesh,694,656,2
01-05-2020,Arunachal Pradesh,724,692,2
03-05-2020,Arunachal Pradesh,810,761,2
